gene_symbol,source
14-3-3epsilon,genage_models + starter
5-HT2A,genage_models + starter
AAC3,genage_models + starter
AAH1,genage_models + starter
AAT1,genage_models + starter
AAT2,genage_models + starter
ABP1,genage_models + starter
ACB1,genage_models + starter
ACH1,genage_models + starter
ACO2,genage_models + starter
ACS2,genage_models + starter
ADA2,genage_models + starter
ADD37,genage_models + starter
ADD66,genage_models + starter
ADE1,genage_models + starter
ADE12,genage_models + starter
ADE17,genage_models + starter
ADE2,genage_models + starter
ADE3,genage_models + starter
ADE4,genage_models + starter
"ADE5,7",genage_models + starter
ADE6,genage_models + starter
ADH1,genage_models + starter
ADH2,genage_models + starter
ADK1,genage_models + starter
ADR1,genage_models + starter
AEP1,genage_models + starter
AFG3,genage_models + starter
AGC1,genage_models + starter
AGP1,genage_models + starter
AIM24,genage_models + starter
AIM36,genage_models + starter
AKL1,genage_models + starter
AKR1,genage_models + starter
ALD3,genage_models + starter
ALD4,genage_models + starter
ALD6,genage_models + starter
ALG12,genage_models + starter
ALG3,genage_models + starter
ALG5,genage_models + starter
ALG6,genage_models + starter
ALT2,genage_models + starter
AMD1,genage_models + starter
AMN1,genage_models + starter
ANS1,genage_models + starter
APC10,genage_models + starter
APC5,genage_models + starter
APC9,genage_models + starter
APE3,genage_models + starter
APL2,genage_models + starter
APM1,genage_models + starter
APT1,genage_models + starter
AQR1,genage_models + starter
ARD1,genage_models + starter
ARF1,genage_models + starter
ARG2,genage_models + starter
ARK1,genage_models + starter
ARO7,genage_models + starter
ARP1,genage_models + starter
ASF1,genage_models + starter
ASG1,genage_models + starter
ATG1,genage_models + starter
ATG10,genage_models + starter
ATG12,genage_models + starter
ATG13,genage_models + starter
ATG14,genage_models + starter
ATG15,genage_models + starter
ATG16,genage_models + starter
ATG17,genage_models + starter
ATG18,genage_models + starter
ATG2,genage_models + starter
ATG21,genage_models + starter
ATG29,genage_models + starter
ATG5,genage_models + starter
ATG7,genage_models + starter
ATG8,genage_models + starter
ATG9,genage_models + starter
ATH1,genage_models + starter
ATP1,genage_models + starter
ATP18,genage_models + starter
ATP2,genage_models + starter
ATP3,genage_models + starter
ATP4,genage_models + starter
ATPCL,genage_models + starter
AVT1,genage_models + starter
Adcy5,genage_models + starter
Adra1a,genage_models + starter
Adra1b,genage_models + starter
Agtr1a,genage_models + starter
AhcyL1,genage_models + starter
AhcyL2,genage_models + starter
Akt1,genage_models + starter
Akt2,genage_models + starter
Apoe,genage_models + starter
Arhgap1,genage_models + starter
Arntl,genage_models + starter
Atg1,genage_models + starter
Atg2,genage_models + starter
Atg5,genage_models + starter
Atg7,genage_models + starter
Atg8a,genage_models + starter
Atm,genage_models + starter
Atr,genage_models + starter
Aut1,genage_models + starter
B0024.4,genage_models + starter
B0250.5,genage_models + starter
B0303.2,genage_models + starter
B0491.5,genage_models + starter
B0511.6,genage_models + starter
B0546.3,genage_models + starter
BAP2,genage_models + starter
BAS1,genage_models + starter
BCK1,genage_models + starter
BCS1,genage_models + starter
BCY1,genage_models + starter
BEM1,genage_models + starter
BIR1,genage_models + starter
BMH1,genage_models + starter
BMH2,genage_models + starter
BNA2,genage_models + starter
BNA6,genage_models + starter
BNI1,genage_models + starter
BOI2,genage_models + starter
BPH1,genage_models + starter
BPT1,genage_models + starter
BRE5,genage_models + starter
BSC1,genage_models + starter
BSC2,genage_models + starter
BST1,genage_models + starter
BUD6,genage_models + starter
BUG1,genage_models + starter
BUL2,genage_models + starter
Bax,genage_models + starter
Bmcp,genage_models + starter
Brca1,genage_models + starter
Bub1b,genage_models + starter
Bub3,genage_models + starter
C01F1.1,genage_models + starter
C03H5.3,genage_models + starter
C06A5.1,genage_models + starter
C07A9.2,genage_models + starter
C09B7.2,genage_models + starter
C11H1.3,genage_models + starter
C14A4.9,genage_models + starter
C18E9.10,genage_models + starter
C18E9.4,genage_models + starter
C26B2.2,genage_models + starter
C26B9.3,genage_models + starter
C27B7.7,genage_models + starter
C28H8.11,genage_models + starter
C29F9.1,genage_models + starter
C29F9.2,genage_models + starter
C33F10.12,genage_models + starter
C33H5.18,genage_models + starter
C34B2.6,genage_models + starter
C35A11.3,genage_models + starter
C36H8.1,genage_models + starter
C42C1.3,genage_models + starter
C46G7.2,genage_models + starter
C47D12.2,genage_models + starter
C47E12.2,genage_models + starter
C48E7.2,genage_models + starter
C56G2.1,genage_models + starter
CAJ1,genage_models + starter
CAN1,genage_models + starter
CAT5,genage_models + starter
CBP2,genage_models + starter
CBP4,genage_models + starter
CBP6,genage_models + starter
CBS1,genage_models + starter
CCS1,genage_models + starter
CDC13,genage_models + starter
CDC25,genage_models + starter
CDC26,genage_models + starter
CDC6,genage_models + starter
CDH1,genage_models + starter
CELE_C17H1.7,genage_models + starter
CELE_C25H3.9,genage_models + starter
CELE_C31B8.4,genage_models + starter
CELE_C32H11.1,genage_models + starter
CELE_C32H11.5,genage_models + starter
CELE_C33A12.1,genage_models + starter
CELE_D1054.14,genage_models + starter
CELE_D1054.8,genage_models + starter
CELE_E03H12.5,genage_models + starter
CELE_F11A3.2,genage_models + starter
CELE_F23F12.3,genage_models + starter
CELE_F29C4.2,genage_models + starter
CELE_F40F12.7,genage_models + starter
CELE_F43D2.1,genage_models + starter
CELE_F49F1.12,genage_models + starter
CELE_F52C6.2,genage_models + starter
CELE_F53F4.11,genage_models + starter
CELE_F53H1.3,genage_models + starter
CELE_F56D5.5,genage_models + starter
CELE_F59B2.8,genage_models + starter
CELE_F59C6.5,genage_models + starter
CELE_R02D3.3,genage_models + starter
CELE_R03D7.4,genage_models + starter
CELE_R05A10.5,genage_models + starter
CELE_T06G6.4,genage_models + starter
CELE_W09C5.8,genage_models + starter
CELE_Y39B6A.3,genage_models + starter
CELE_Y39F10C.1,genage_models + starter
CELE_Y39G10AR.8,genage_models + starter
CELE_Y41C4A.11,genage_models + starter
CELE_Y43F8B.12,genage_models + starter
CELE_Y46G5A.20,genage_models + starter
CELE_Y47G6A.18,genage_models + starter
CELE_Y47H9C.1,genage_models + starter
CELE_Y52B11A.9,genage_models + starter
CELE_Y53F4B.23,genage_models + starter
CELE_Y54E10BR.4,genage_models + starter
CELE_Y69A2AR.19,genage_models + starter
CELE_Y75B8A.13,genage_models + starter
CELE_Y75B8A.33,genage_models + starter
CG11165,genage_models + starter
CG13890,genage_models + starter
CG14207,genage_models + starter
CG17856,genage_models + starter
CG18809,genage_models + starter
CG2789,genage_models + starter
CG3776,genage_models + starter
CG42358,genage_models + starter
CG5389,genage_models + starter
CG9172,genage_models + starter
CG9940,genage_models + starter
CHD1,genage_models + starter
CHL1,genage_models + starter
CIT1,genage_models + starter
CIT2,genage_models + starter
CKA2,genage_models + starter
CLA4,genage_models + starter
CLB1,genage_models + starter
CLB2,genage_models + starter
CLG1,genage_models + starter
CLN3,genage_models + starter
COA6,genage_models + starter
COQ1,genage_models + starter
COQ10,genage_models + starter
COQ3,genage_models + starter
COQ5,genage_models + starter
COR1,genage_models + starter
COX11,genage_models + starter
COX23,genage_models + starter
CPS1,genage_models + starter
CRC1,genage_models + starter
CSG2,genage_models + starter
CSR2,genage_models + starter
CST26,genage_models + starter
CTA1,genage_models + starter
CTF4,genage_models + starter
CTH1,genage_models + starter
CTK1,genage_models + starter
CTR1,genage_models + starter
CTT1,genage_models + starter
CUP9,genage_models + starter
CWH43,genage_models + starter
CYB5,genage_models + starter
CYC1,genage_models + starter
CYC2,genage_models + starter
CYC3,genage_models + starter
CYR1,genage_models + starter
CYS4,genage_models + starter
CYT1,genage_models + starter
CYT2,genage_models + starter
Casp2,genage_models + starter
Cat,genage_models + starter
Cav1,genage_models + starter
Cbr-daf-2,genage_models + starter
Cbs,genage_models + starter
Cct1,genage_models + starter
Cdc14b,genage_models + starter
Cdk5,genage_models + starter
Cdk7,genage_models + starter
Cdkn1a,genage_models + starter
Cdkn2a,genage_models + starter
Cebpa,genage_models + starter
Cebpb,genage_models + starter
Chek2,genage_models + starter
Cisd2,genage_models + starter
Clock,genage_models + starter
Col1a1,genage_models + starter
Coq2,genage_models + starter
Coq7,genage_models + starter
Csnk1e,genage_models + starter
Ctf1,genage_models + starter
D1069.3,genage_models + starter
D2030.1,genage_models + starter
D2030.4,genage_models + starter
D2085.3,genage_models + starter
DAP2,genage_models + starter
DAS2,genage_models + starter
DBF2,genage_models + starter
DBP1,genage_models + starter
DBP3,genage_models + starter
DCN1,genage_models + starter
DCW1,genage_models + starter
DER1,genage_models + starter
DGR2,genage_models + starter
DID2,genage_models + starter
DIE2,genage_models + starter
DIF1,genage_models + starter
DJ-1alpha,genage_models + starter
DLP,genage_models + starter
DLS1,genage_models + starter
DNA2,genage_models + starter
DNApol-gamma35,genage_models + starter
DNF1,genage_models + starter
DNM1,genage_models + starter
DOA4,genage_models + starter
DOT1,genage_models + starter
DPB4,genage_models + starter
DPH1,genage_models + starter
DSS1,genage_models + starter
DUG1,genage_models + starter
DUG2,genage_models + starter
DUN1,genage_models + starter
DYN2,genage_models + starter
Dgat1,genage_models + starter
Dmd,genage_models + starter
Drp1,genage_models + starter
Dys,genage_models + starter
E(z),genage_models + starter
E01B7.1,genage_models + starter
E04A4.5,genage_models + starter
ECM33,genage_models + starter
ECM34,genage_models + starter
EFT1,genage_models + starter
EFT2,genage_models + starter
EGD1,genage_models + starter
EGD2,genage_models + starter
ELP3,genage_models + starter
ELP4,genage_models + starter
EMI1,genage_models + starter
ENV11,genage_models + starter
EOS1,genage_models + starter
ERG24,genage_models + starter
ERG5,genage_models + starter
ERG6,genage_models + starter
ERO1,genage_models + starter
ERV2,genage_models + starter
ESC2,genage_models + starter
ESL2,genage_models + starter
ETR1,genage_models + starter
EUG1,genage_models + starter
EXO1,genage_models + starter
EcR,genage_models + starter
Edem1,genage_models + starter
Eef1e1,genage_models + starter
Ef1alpha48D,genage_models + starter
Efemp1,genage_models + starter
Egm,genage_models + starter
Eif5a2,genage_models + starter
Eip71CD,genage_models + starter
Eps8,genage_models + starter
Ercc1,genage_models + starter
Ercc2,genage_models + starter
Ercc4,genage_models + starter
F01G4.6,genage_models + starter
F02A9.4,genage_models + starter
F08B4.7,genage_models + starter
F09F7.3,genage_models + starter
F09F7.4,genage_models + starter
F09F7.5,genage_models + starter
F11G11.13,genage_models + starter
F13B6.1,genage_models + starter
