gene,systems
10,cellular|endocrine/exocrine gland|reproductive system
1110059G10Rik,skeleton
12,cellular|endocrine/exocrine gland|reproductive system
12.Ts17,cellular|endocrine/exocrine gland|growth/size/body region|nervous system|reproductive system
14,vision/eye
1500009L16Rik,homeostasis/metabolism|skeleton
1600014C10Rik,behavior/neurological|cellular|hematopoietic system|homeostasis/metabolism|immune system|integument|nervous system|pigmentation
1600029I14Rik,renal/urinary system|reproductive system
17,behavior/neurological|cardiovascular system|cellular|craniofacial|endocrine/exocrine gland|growth/size/body region|hematopoietic system|immune system|limbs/digits/tail|neoplasm|nervous system|reproductive system|skeleton
1700003F12Rik,cardiovascular system|embryo|growth/size/body region
1700008O03Rik,hematopoietic system|integument
1700008P02Rik,adipose tissue|cardiovascular system|homeostasis/metabolism
1700010I14Rik,behavior/neurological|cellular|reproductive system
1700012B09Rik,homeostasis/metabolism|integument|normal
1700016H13Rik,homeostasis/metabolism
1700016L21Rik,cellular|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|respiratory system
1700020A23Rik,integument
1700025G04Rik,behavior/neurological|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|vision/eye
1700028K03Rik,cellular|endocrine/exocrine gland|homeostasis/metabolism|reproductive system
1700029F12Rik,homeostasis/metabolism
1700030J22Rik,cardiovascular system|homeostasis/metabolism
1700030K09Rik,skeleton
1700034E13Rik,cardiovascular system|digestive/alimentary|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|integument|liver/biliary system|renal/urinary system|reproductive system|vision/eye
1700034J05Rik,normal
1700067K01Rik,cardiovascular system|embryo|immune system|nervous system|renal/urinary system|respiratory system|skeleton
1700069L16Rik,endocrine/exocrine gland|hematopoietic system|immune system|liver/biliary system
1700088E04Rik,vision/eye
1700093K21Rik,behavior/neurological|cardiovascular system|digestive/alimentary|growth/size/body region|homeostasis/metabolism|normal|skeleton
1700102P08Rik,cellular|endocrine/exocrine gland|reproductive system
1700123O20Rik,homeostasis/metabolism
1810055G02Rik,integument
1Ct,cellular|endocrine/exocrine gland|reproductive system
2010003K11Rik,digestive/alimentary|growth/size/body region|homeostasis/metabolism|liver/biliary system
