strain,sex,animal_id,bw_AL,bw_DR,lean_AL,lean_DR,fat_AL,fat_DR,pct_fat_AL,pct_fat_DR,lifespan_AL,lifespan_DR
ILSXISS100/TejJ,f,100_27_11,22.8,,15.5,,4.11,,20.9,,924.0,
ILSXISS100/TejJ,f,100_27_12,22.3,,17.2,,4.18,,19.5,,884.0,
ILSXISS100/TejJ,f,100_27_13,22.1,,18.4,,7.07,,27.8,,893.0,
ILSXISS100/TejJ,f,100_27_18,,16.8,,13.3,,2.57,,16.2,,1013.0
ILSXISS100/TejJ,f,100_27_19,,,,,,,,,,967.0
ILSXISS100/TejJ,f,100_27_20,,,,,,,,,,974.0
ILSXISS100/TejJ,f,100_27_8,21.3,,16.6,,3.83,,18.7,,928.0,
ILSXISS100/TejJ,f,100_27_9,22.5,,18.1,,4.81,,21.0,,928.0,
ILSXISS100/TejJ,m,100_27_10,27.2,,16.0,,3.85,,19.4,,922.0,
ILSXISS100/TejJ,m,100_27_14,17.2,,12.9,,1.9,,12.8,,895.0,
ILSXISS100/TejJ,m,100_27_15,22.8,,15.5,,4.72,,23.3,,892.0,
ILSXISS100/TejJ,m,100_27_16,,14.4,,12.6,,1.62,,11.4,,638.0
ILSXISS100/TejJ,m,100_27_17,,20.9,,14.8,,2.38,,13.8,,894.0
ILSXISS100/TejJ,m,100_27_21,,,,,,,,,,848.0
ILSXISS100/TejJ,m,100_27_6,26.5,,19.4,,5.04,,20.6,,937.0,
ILSXISS100/TejJ,m,100_27_7,27.3,,19.6,,5.7,,22.6,,877.0,
ILSXISS103/TejJ,f,103_27_10,23.8,,18.8,,4.65,,19.9,,855.0,
ILSXISS103/TejJ,f,103_27_12,,22.4,,15.3,,3.34,,18.0,,1093.0
ILSXISS103/TejJ,f,103_27_16,,21.9,,14.0,,4.11,,22.7,,1122.0
ILSXISS103/TejJ,f,103_27_5,28.0,,20.0,,6.42,,24.3,,774.0,
ILSXISS103/TejJ,f,103_27_6,25.4,,18.5,,4.45,,19.4,,980.0,
ILSXISS103/TejJ,f,103_27_7,24.9,,18.9,,4.8,,20.2,,836.0,
ILSXISS103/TejJ,f,103_27_9,22.8,,17.6,,3.93,,18.3,,948.0,
ILSXISS103/TejJ,m,103_27_1,31.6,,22.3,,8.01,,26.4,,823.0,
ILSXISS103/TejJ,m,103_27_11,,28.5,,19.6,,6.87,,25.9,,890.0
ILSXISS103/TejJ,m,103_27_13,,28.1,,19.0,,6.9,,26.7,,1028.0
ILSXISS103/TejJ,m,103_27_14,,29.1,,19.5,,6.88,,26.0,,926.0
ILSXISS103/TejJ,m,103_27_15,,27.0,,18.7,,5.95,,24.1,,1115.0
ILSXISS103/TejJ,m,103_27_18,,25.9,,18.2,,5.07,,21.8,,1130.0
ILSXISS103/TejJ,m,103_27_2,27.3,,21.2,,5.01,,19.1,,851.0,
ILSXISS103/TejJ,m,103_27_3,27.4,,20.7,,4.04,,16.3,,789.0,
ILSXISS103/TejJ,m,103_27_4,26.1,,22.0,,6.71,,23.4,,1061.0,
ILSXISS103/TejJ,m,103_27_8,27.5,,21.9,,5.95,,21.4,,812.0,
ILSXISS107/TejJ,f,107_29_10,21.4,,18.5,,3.5,,15.9,,593.0,
ILSXISS107/TejJ,f,107_29_11,,18.2,,13.9,,3.89,,21.8,,680.0
ILSXISS107/TejJ,f,107_29_12,,16.7,,13.0,,2.19,,14.4,,674.0
ILSXISS107/TejJ,f,107_29_13,,14.7,,11.9,,1.66,,12.2,,673.0
ILSXISS107/TejJ,f,107_29_14,,17.5,,13.4,,3.03,,18.5,,756.0
ILSXISS107/TejJ,f,107_29_22,,17.0,,12.2,,3.33,,21.4,,654.0
ILSXISS107/TejJ,f,107_29_5,,,,,,,,,446.0,
ILSXISS107/TejJ,f,107_29_6,23.6,,17.4,,4.23,,19.5,,777.0,
ILSXISS107/TejJ,f,107_29_7,20.7,,16.7,,2.74,,14.1,,1052.0,
ILSXISS107/TejJ,f,107_29_8,19.8,,15.4,,2.95,,16.1,,596.0,
ILSXISS107/TejJ,m,107_29_1,21.8,,17.9,,3.42,,16.1,,1079.0,
ILSXISS107/TejJ,m,107_29_15,,19.2,,14.7,,3.21,,17.9,,598.0
ILSXISS107/TejJ,m,107_29_16,,,,,,,,,,146.0
ILSXISS107/TejJ,m,107_29_17,,16.7,,13.5,,1.68,,11.1,,564.0
ILSXISS107/TejJ,m,107_29_18,,19.7,,14.6,,4.2,,22.4,,658.0
ILSXISS107/TejJ,m,107_29_19,,18.7,,13.8,,2.7,,16.4,,635.0
ILSXISS107/TejJ,m,107_29_2,26.8,,21.0,,4.97,,19.1,,1181.0,
ILSXISS107/TejJ,m,107_29_3,25.5,,18.9,,4.85,,20.4,,1074.0,
ILSXISS107/TejJ,m,107_29_4,28.4,,21.4,,6.24,,22.6,,748.0,
ILSXISS107/TejJ,m,107_29_9,23.7,,16.8,,5.59,,25.0,,1147.0,
ILSXISS110/TejJ,f,110_26_10,30.6,,21.1,,9.0,,29.9,,990.0,
ILSXISS110/TejJ,f,110_26_11,25.9,,20.3,,5.18,,20.3,,1002.0,
ILSXISS110/TejJ,f,110_26_12,24.9,,17.8,,5.89,,24.8,,619.0,
ILSXISS110/TejJ,f,110_26_13,27.6,,19.1,,7.8,,29.0,,625.0,
ILSXISS110/TejJ,f,110_26_18,,19.4,,14.7,,3.3,,18.3,,878.0
ILSXISS110/TejJ,f,110_26_19,,18.3,,14.2,,2.5,,15.0,,688.0
ILSXISS110/TejJ,f,110_26_20,,18.3,,14.9,,3.44,,18.8,,1197.0
ILSXISS110/TejJ,f,110_26_23,,17.5,,13.8,,1.79,,11.5,,609.0
ILSXISS110/TejJ,f,110_26_26,,19.5,,14.5,,3.33,,18.7,,1080.0
ILSXISS110/TejJ,f,110_26_9,28.5,,20.0,,7.41,,27.1,,851.0,
ILSXISS110/TejJ,m,110_26_14,27.1,,22.0,,3.87,,15.0,,937.0,
ILSXISS110/TejJ,m,110_26_15,,21.5,,16.9,,3.88,,18.7,,1095.0
ILSXISS110/TejJ,m,110_26_16,,24.9,,20.2,,3.63,,15.2,,735.0
ILSXISS110/TejJ,m,110_26_17,,24.9,,19.6,,4.46,,18.6,,889.0
ILSXISS110/TejJ,m,110_26_21,,26.2,,20.1,,3.93,,16.4,,1204.0
ILSXISS110/TejJ,m,110_26_22,,24.3,,18.9,,3.4,,15.2,,1204.0
ILSXISS110/TejJ,m,110_26_5,,,,,,,,,484.0,
ILSXISS110/TejJ,m,110_26_6,23.6,,20.3,,2.25,,9.99,,587.0,
ILSXISS110/TejJ,m,110_26_7,,,,,,,,,533.0,
ILSXISS110/TejJ,m,110_26_8,31.7,,25.1,,3.8,,13.2,,645.0,
ILSXISS112/TejJ,f,112_29_10,27.9,,23.3,,2.75,,10.6,,600.0,
ILSXISS112/TejJ,f,112_29_11,24.8,,19.5,,3.7,,15.9,,792.0,
ILSXISS112/TejJ,f,112_29_12,26.3,,20.0,,4.37,,17.9,,827.0,
