mouse_id,strain,sex,diet,bw,lean,fat,pct_fat,lifespan_days
100_27_11,ILSXISS100/TejJ,f,AL,22.8,15.5,4.11,20.9,924.0
100_27_12,ILSXISS100/TejJ,f,AL,22.3,17.2,4.18,19.5,884.0
100_27_13,ILSXISS100/TejJ,f,AL,22.1,18.4,7.07,27.8,893.0
100_27_8,ILSXISS100/TejJ,f,AL,21.3,16.6,3.83,18.7,928.0
100_27_9,ILSXISS100/TejJ,f,AL,22.5,18.1,4.81,21.0,928.0
100_27_10,ILSXISS100/TejJ,m,AL,27.2,16.0,3.85,19.4,922.0
100_27_14,ILSXISS100/TejJ,m,AL,17.2,12.9,1.9,12.8,895.0
100_27_15,ILSXISS100/TejJ,m,AL,22.8,15.5,4.72,23.3,892.0
100_27_6,ILSXISS100/TejJ,m,AL,26.5,19.4,5.04,20.6,937.0
100_27_7,ILSXISS100/TejJ,m,AL,27.3,19.6,5.7,22.6,877.0
103_27_10,ILSXISS103/TejJ,f,AL,23.8,18.8,4.65,19.9,855.0
103_27_5,ILSXISS103/TejJ,f,AL,28.0,20.0,6.42,24.3,774.0
103_27_6,ILSXISS103/TejJ,f,AL,25.4,18.5,4.45,19.4,980.0
103_27_7,ILSXISS103/TejJ,f,AL,24.9,18.9,4.8,20.2,836.0
103_27_9,ILSXISS103/TejJ,f,AL,22.8,17.6,3.93,18.3,948.0
103_27_1,ILSXISS103/TejJ,m,AL,31.6,22.3,8.01,26.4,823.0
103_27_2,ILSXISS103/TejJ,m,AL,27.3,21.2,5.01,19.1,851.0
103_27_3,ILSXISS103/TejJ,m,AL,27.4,20.7,4.04,16.3,789.0
103_27_4,ILSXISS103/TejJ,m,AL,26.1,22.0,6.71,23.4,1061.0
103_27_8,ILSXISS103/TejJ,m,AL,27.5,21.9,5.95,21.4,812.0
107_29_10,ILSXISS107/TejJ,f,AL,21.4,18.5,3.5,15.9,593.0
107_29_5,ILSXISS107/TejJ,f,AL,21.049999999999997,17.049999999999997,3.225,16.0,446.0
107_29_6,ILSXISS107/TejJ,f,AL,23.6,17.4,4.23,19.5,777.0
107_29_7,ILSXISS107/TejJ,f,AL,20.7,16.7,2.74,14.1,1052.0
107_29_8,ILSXISS107/TejJ,f,AL,19.8,15.4,2.95,16.1,596.0
107_29_1,ILSXISS107/TejJ,m,AL,21.8,17.9,3.42,16.1,1079.0
107_29_2,ILSXISS107/TejJ,m,AL,26.8,21.0,4.97,19.1,1181.0
107_29_3,ILSXISS107/TejJ,m,AL,25.5,18.9,4.85,20.4,1074.0
107_29_4,ILSXISS107/TejJ,m,AL,28.4,21.4,6.24,22.6,748.0
107_29_9,ILSXISS107/TejJ,m,AL,23.7,16.8,5.59,25.0,1147.0
110_26_10,ILSXISS110/TejJ,f,AL,30.6,21.1,9.0,29.9,990.0
110_26_11,ILSXISS110/TejJ,f,AL,25.9,20.3,5.18,20.3,1002.0
110_26_12,ILSXISS110/TejJ,f,AL,24.9,17.8,5.89,24.8,619.0
110_26_13,ILSXISS110/TejJ,f,AL,27.6,19.1,7.8,29.0,625.0
110_26_9,ILSXISS110/TejJ,f,AL,28.5,20.0,7.41,27.1,851.0
110_26_14,ILSXISS110/TejJ,m,AL,27.1,22.0,3.87,15.0,937.0
110_26_5,ILSXISS110/TejJ,m,AL,27.1,22.0,3.8,13.2,484.0
110_26_6,ILSXISS110/TejJ,m,AL,23.6,20.3,2.25,9.99,587.0
110_26_7,ILSXISS110/TejJ,m,AL,27.1,22.0,3.8,13.2,533.0
110_26_8,ILSXISS110/TejJ,m,AL,31.7,25.1,3.8,13.2,645.0
112_29_10,ILSXISS112/TejJ,f,AL,27.9,23.3,2.75,10.6,600.0
112_29_11,ILSXISS112/TejJ,f,AL,24.8,19.5,3.7,15.9,792.0
112_29_12,ILSXISS112/TejJ,f,AL,26.3,20.0,4.37,17.9,827.0
112_29_13,ILSXISS112/TejJ,f,AL,25.55,21.3,3.225,13.25,552.0
112_29_14,ILSXISS112/TejJ,f,AL,24.6,22.6,2.47,9.85,580.0
112_29_6,ILSXISS112/TejJ,m,AL,43.6,25.8,15.7,37.7,610.0
112_29_7,ILSXISS112/TejJ,m,AL,31.2,25.5,4.15,14.0,838.0
112_29_8,ILSXISS112/TejJ,m,AL,37.7,23.1,12.1,34.4,1181.0
112_29_9,ILSXISS112/TejJ,m,AL,34.2,24.8,7.01,22.0,1055.0
114_29_10,ILSXISS114/TejJ,f,AL,26.0,18.6,6.91,27.1,911.0
114_29_4,ILSXISS114/TejJ,f,AL,22.7,17.8,3.97,18.2,1055.0
114_29_5,ILSXISS114/TejJ,f,AL,17.8,13.5,3.42,20.2,1058.0
