strain,sex,animal_id,lifespan_median,lifespandays
129S1/SvImJ,f,00068AF233,,673
129S1/SvImJ,f,00068AF6D7,,483
129S1/SvImJ,f,00068B0443,,651
129S1/SvImJ,f,00068B0CE6,,1014
129S1/SvImJ,f,00068B1641,,1014
129S1/SvImJ,f,00068B1CAD,,518
129S1/SvImJ,f,00068B27AB,,673
129S1/SvImJ,f,00068af31a,,920
129S1/SvImJ,f,00068af597,,680
129S1/SvImJ,f,00068afa62,,821
129S1/SvImJ,f,00068afc4f,,938
129S1/SvImJ,f,00068afc99,,763
129S1/SvImJ,f,00068afed4,,757
129S1/SvImJ,f,00068b0161,,1099
129S1/SvImJ,f,00068b035d,,869
129S1/SvImJ,f,00068b040f,,637
129S1/SvImJ,f,00068b1045,,791
129S1/SvImJ,f,00068b105e,,658
129S1/SvImJ,f,00068b176e,,576
129S1/SvImJ,f,00068b1871,,729
129S1/SvImJ,f,00068b2073,,897
129S1/SvImJ,f,00068b2098,,819
129S1/SvImJ,f,00068b20a5,,925
129S1/SvImJ,f,00068b26ed,,547
129S1/SvImJ,f,000699FEF2,,861
129S1/SvImJ,f,00069A25E0,,980
129S1/SvImJ,f,00069A2C42,,938
129S1/SvImJ,f,00069A2FBE,,830
129S1/SvImJ,f,1,,616
129S1/SvImJ,f,2,,763
129S1/SvImJ,f,3,,770
129S1/SvImJ,f,4,,987
129S1/SvImJ,m,00068AF16E,,917
129S1/SvImJ,m,00068AF1B9,,882
129S1/SvImJ,m,00068AF575,,925
129S1/SvImJ,m,00068AF614,,919
129S1/SvImJ,m,00068AFCAC,,992
129S1/SvImJ,m,00068AFE5D,,914
129S1/SvImJ,m,00068B0F1C,,1021
129S1/SvImJ,m,00068B1E9D,,857
129S1/SvImJ,m,00068CDE95,,809
129S1/SvImJ,m,00068CDF96,,856
129S1/SvImJ,m,00068CE196,,778
129S1/SvImJ,m,00068CE500,,659
129S1/SvImJ,m,00068D02B0,,990
129S1/SvImJ,m,00068D0502,,973
129S1/SvImJ,m,00068D135D,,798
129S1/SvImJ,m,00068D42D3,,749
129S1/SvImJ,m,00068af2fc,,798
129S1/SvImJ,m,00068af6c6,,842
129S1/SvImJ,m,00068b072b,,812
129S1/SvImJ,m,00068b07d5,,1000
129S1/SvImJ,m,00068b0a37,,1043
129S1/SvImJ,m,00068b0f14,,708
129S1/SvImJ,m,00068b10e0,,876
129S1/SvImJ,m,00068b125b,,534
129S1/SvImJ,m,87,,708
129S1/SvImJ,m,88,,717
129S1/SvImJ,m,89,,857
129S1/SvImJ,m,90,,1102
129S1/SvImJ,m,91,,959
129S1/SvImJ,m,92,,1021
129S1/SvImJ,m,93,,1029
129S1/SvImJ,m,94,,1050
A/J,f,00068AF558,,448
A/J,f,00068AF853,,518
A/J,f,00068AFF87,,394
A/J,f,00068B0BF3,,527
A/J,f,00068B1801,,739
A/J,f,00068B1C33,,735
A/J,f,00068B1CEA,,751
A/J,f,00068B206F,,619
A/J,f,00068B24B8,,694
A/J,f,00068B28B8,,694
A/J,f,00068B28EC,,610
A/J,f,00068B2C08,,694
A/J,f,00068CF93C,,406
A/J,f,00068af64b,,526
A/J,f,00068afa4e,,793
A/J,f,00068b032f,,669
A/J,f,00068b07d0,,357
A/J,f,00068b0ad0,,750
A/J,f,00068b10b5,,681
A/J,f,00068b2059,,639
A/J,f,00068b2279,,784
A/J,f,00068b2591,,756
A/J,f,00068b25b2,,623
A/J,f,00069a0f64,,760
A/J,f,00069a0f7c,,619
A/J,f,00069a184f,,757
A/J,f,00069a1a4c,,619
A/J,f,00069a1aba,,619
A/J,f,00069a1cc6,,687
A/J,f,00069a2293,,806
A/J,f,95,,534
A/J,f,96,,373
A/J,m,00068b0abe,,562
A/J,m,00068b163a,,617
A/J,m,00068b169a,,763
A/J,m,00068b1d42,,555
A/J,m,00068b21e0,,466
A/J,m,00068b25a3,,623
A/J,m,00068ce0db,,514
A/J,m,00068d0d2e,,728
A/J,m,00068d207d,,700
A/J,m,00068d3006,,779
A/J,m,00068d31e9,,681
A/J,m,00068d40ad,,401
A/J,m,00068d4236,,861
A/J,m,00068d4362,,779
A/J,m,000699FB70,,637
A/J,m,00069A19BE,,728
A/J,m,00069A1BB2,,708
A/J,m,100,,533
A/J,m,101,,652
A/J,m,102,,478
A/J,m,103,,541
A/J,m,104,,626
A/J,m,105,,798
A/J,m,106,,529
A/J,m,107,,581
A/J,m,108,,594
A/J,m,109,,644
A/J,m,97,,555
