strain,sex,n,median,mean,std,q25,q75,iqr
WSB/EiJ,f,31,964.0,877.516129032258,342.2624598138824,692.0,1169.0,477.0
WSB/EiJ,m,32,952.5,808.65625,361.8849941513677,450.0,1095.75,645.75
C57BL/6J,m,32,901.0,894.28125,113.88314168338275,835.0,951.5,116.5
C57BL/10J,f,32,888.0,828.5,230.90034158037855,662.0,983.75,321.75
129S1/SvImJ,m,32,879.0,877.96875,131.32807585609604,798.0,990.5,192.5
C57BR/cdJ,f,32,876.0,805.875,205.2131464693989,783.25,921.75,138.5
C57BL/6J,f,29,866.0,855.6896551724138,185.3360082676627,776.0,999.0,223.0
RIIIS/J,m,32,860.0,846.71875,108.16481879147928,775.5,940.0,164.5
PWD/PhJ,f,31,854.0,806.6774193548387,173.10023822374794,688.0,940.5,252.5
C57BLKS/J,f,32,853.0,739.03125,217.37636224507767,588.25,888.0,299.75
C57BR/cdJ,m,32,848.5,830.65625,135.41730231447173,734.75,935.5,200.75
NON/ShiLtJ,m,32,844.5,821.0,143.72958480558935,789.5,912.25,122.75
C57BLKS/J,m,31,826.0,838.1935483870968,123.65123516159979,777.0,911.5,134.5
PWD/PhJ,m,25,816.0,743.28,233.3531872505709,578.0,905.0,327.0
LP/J,f,31,815.0,805.3870967741935,188.72213744362458,718.0,956.0,238.0
LP/J,m,32,815.0,805.75,115.84026822282262,721.0,856.75,135.75
RIIIS/J,f,32,791.5,785.96875,109.13663657795391,715.25,858.5,143.25
C57BL/10J,m,25,785.0,738.16,181.42484210640322,727.0,852.0,125.0
SM/J,m,31,783.0,727.1935483870968,174.80130040607798,710.5,832.5,122.0
129S1/SvImJ,f,32,780.5,787.40625,159.1558091072413,669.25,921.25,252.0
NZW/LacJ,m,32,779.5,801.59375,236.68856076791525,603.5,997.25,393.75
C3H/HeJ,f,29,777.0,724.0689655172414,131.48409220306104,622.0,820.0,198.0
FVB/NJ,f,26,777.0,750.3076923076923,230.11071582710255,614.5,934.0,319.5
BALB/cByJ,f,32,771.0,734.375,154.42520895660246,684.5,838.0,153.5
SM/J,f,32,753.0,732.03125,145.80399666520935,691.25,787.25,96.0
NON/ShiLtJ,f,31,750.0,721.1290322580645,139.77499584105016,616.5,836.5,220.0
C57L/J,m,32,732.0,703.40625,98.94047065721368,658.0,764.25,106.25
NZW/LacJ,f,32,729.5,729.84375,145.01637490964765,608.75,830.0,221.25
C57L/J,f,32,724.5,712.625,80.08292073562494,700.0,743.25,43.25
C3H/HeJ,m,32,721.0,718.5625,142.6477587083517,622.0,833.25,211.25
SWR/J,m,32,714.0,655.25,262.0647543716457,381.75,846.25,464.5
BALB/cByJ,m,32,710.5,664.28125,202.04442730458743,510.0,785.25,275.25
DBA/2J,m,29,708.0,641.4137931034483,178.96139193400253,513.0,759.0,246.0
NOD.B10Sn-H2<b>/J,m,30,698.0,685.7333333333333,204.59816518092802,530.5,871.0,340.5
MOLF/EiJ,f,32,694.5,681.125,169.58350307777295,584.25,787.75,203.5
P/J,f,32,686.0,675.96875,178.81536420511088,556.0,811.75,255.75
CAST/EiJ,f,13,674.0,663.6923076923077,150.24556821826982,560.0,763.0,203.0
NOD.B10Sn-H2<b>/J,f,30,665.5,648.1666666666666,156.83927273251544,566.75,756.5,189.75
CBA/J,m,32,665.0,647.46875,169.84603737294054,526.0,784.75,258.75
SWR/J,f,31,654.0,640.741935483871,211.67506037036034,515.5,801.5,286.0
A/J,f,32,654.0,630.65625,130.2022271686526,532.25,741.75,209.5
DBA/2J,f,32,650.0,580.1875,220.25080095786402,363.25,785.0,421.75
CBA/J,f,30,640.5,622.9,181.94909291830257,455.75,783.75,328.0
MRL/MpJ,m,32,639.0,587.0625,131.12415625977806,543.5,666.75,123.25
KK/HlJ,m,32,633.0,635.15625,134.92939835455647,538.75,703.5,164.75
BUB/BnJ,f,24,624.5,611.25,218.33545192024448,456.5,747.0,290.5
A/J,m,30,620.0,612.9666666666667,130.05131171257335,535.0,706.0,171.0
BTBR T<+> Itpr3<tf>/J,f,32,603.5,579.8125,137.51397289706776,534.5,660.0,125.5
FVB/NJ,m,24,594.5,632.0,173.77771909014666,559.75,713.25,153.5
KK/HlJ,f,31,593.0,592.0645161290323,97.81715442050402,544.5,645.5,101.0
NZO/HlLtJ,f,32,568.5,547.90625,188.3864181418676,396.5,688.75,292.25
BTBR T<+> Itpr3<tf>/J,m,32,567.5,592.25,158.17548441831224,442.25,718.25,276.0
MRL/MpJ,f,30,555.5,543.7333333333333,110.71084840259778,428.75,637.75,209.0
BUB/BnJ,m,24,550.5,593.5,255.8127712078572,354.0,873.25,519.25
SJL/J,m,15,514.0,510.46666666666664,118.3685930030589,476.5,571.0,94.5
PL/J,m,32,462.5,470.84375,131.23264478189725,365.0,555.75,190.75
SJL/J,f,30,462.5,489.76666666666665,155.8267568837892,369.75,591.5,221.75
NZO/HlLtJ,m,31,423.0,462.741935483871,198.78765349688015,283.0,627.0,344.0
PL/J,f,32,408.0,462.0,134.95590677770852,382.75,520.0,137.25
